id;description;actions_description;date;status
1;Borders Money Virginia;CSS;2023-09-12T21:57:14;STATUS1
2;Cotton extensible invoice;orchestrate Movies Associate;2023-09-13T13:00:10;STATUS2
3;quantify;paradigms;2023-09-13T01:21:23;STATUS1
4;killer open-source;Bedfordshire;2023-09-13T11:25:24;STATUS1
5;Argentine;deposit;2023-09-12T21:11:29;REJECTRD
6;Customer approach Facilitator;e-business;2023-09-13T08:49:40;REJECTRD
7;Florida hacking syndicate;Handmade bandwidth;2023-09-13T14:11:13;REJECTRD
8;reboot Self-enabling;Developer;2023-09-13T05:46:30;STATUS1
9;integrate withdrawal demand-driven;Outdoors;2023-09-13T16:26:04;STATUS1
10;Avon exuding;1080p hack;2023-09-12T18:55:37;STATUS1
